Word,Pronunciation,Meaning,Description,ExampleSentence
itinerary,/aɪˈtɪnəreri/,Lịch trình,A planned route or journey,Our itinerary includes Kyoto and Osaka.
accommodation,/əˌkɑːməˈdeɪʃn/,Chỗ ở,A place to stay,We booked accommodation near the beach.
boarding pass,/ˈbɔːrdɪŋ pæs/,Thẻ lên máy bay,A document allowing you to board,Show your boarding pass at the gate.
customs,/ˈkʌstəmz/,Hải quan,Government agency controlling imports,We waited in line at customs.
layover,/ˈleɪoʊvər/,Dừng chân (bay),A stop between flights,We have a six-hour layover in Dubai.
souvenir,/ˌsuːvəˈnɪr/,Quà lưu niệm,Something kept as a reminder,She bought a souvenir from the market.
excursion,/ɪkˈskɜːrʒn/,Chuyến tham quan,A short journey for pleasure,The hotel offers a city excursion.
reservation,/ˌrezərˈveɪʃn/,Đặt chỗ,An arrangement to keep something,I made a dinner reservation online.
backpack,/ˈbækpæk/,Ba lô,A bag carried on the back,Pack light and use a small backpack.
jet lag,/ˈdʒet læɡ/,Lệch múi giờ,Fatigue after a long flight,I always get jet lag after long flights.
